,Order,Mesh Size,Error,Alpha,Bonus Int,Type
119,3,0.40949150623804254,0.00024246590326485766,5,0,hdg
120,3,0.39069399370546176,0.00015231798419737782,5,0,hdg
121,3,0.37275937203149406,0.0005905506190988711,5,0,hdg
122,3,0.3556480306223129,0.0005646751516694318,5,0,hdg
123,3,0.3393221771895329,0.00015963603120275251,5,0,hdg
124,3,0.3237457542817644,0.00014693375616502252,5,0,hdg
125,3,0.3088843596477481,0.00014795319223398433,5,0,hdg
126,3,0.2947051702551811,0.0004047780250351593,5,0,hdg
127,3,0.28117686979742307,9.544685288586533e-05,5,0,hdg
128,3,0.2682695795279726,9.368482698722977e-05,5,0,hdg
129,3,0.2559547922699536,9.740060949348357e-05,5,0,hdg
130,3,0.24420530945486515,9.339839644256362e-05,5,0,hdg
131,3,0.23299518105153724,9.338477025931847e-05,5,0,hdg
132,3,0.2222996482526195,8.862716998853732e-05,5,0,hdg
133,3,0.2120950887920191,6.84279041393352e-05,5,0,hdg
134,3,0.20235896477251572,6.584702633114744e-05,5,0,hdg
135,3,0.19306977288832505,6.62336191844537e-05,5,0,hdg
136,3,0.18420699693267165,6.596535364454154e-05,5,0,hdg
137,3,0.1757510624854792,5.284984693976712e-05,5,0,hdg
138,3,0.16768329368110083,5.086635780370974e-05,5,0,hdg
139,3,0.15998587196060585,5.1614189941797985e-05,5,0,hdg
140,3,0.15264179671752337,4.721078158397568e-05,5,0,hdg
141,3,0.1456348477501244,4.708006341191176e-05,5,0,hdg
142,3,0.13894954943731377,4.2572096826470695e-05,5,0,hdg
143,3,0.13257113655901093,3.3719111917999885e-05,5,0,hdg
144,3,0.12648552168552965,3.0564874906165705e-05,5,0,hdg
145,3,0.1206792640639329,3.111178180021809e-05,5,0,hdg
146,3,0.11513953993264475,2.6432085135597645e-05,5,0,hdg
147,3,0.10985411419875583,2.4183596150238297e-05,5,0,hdg
148,3,0.10481131341546858,1.9891923320460077e-05,5,0,hdg
149,3,0.1,1.9641076313551778e-05,5,0,hdg
150,4,1.0,0.0005754744206575235,5,0,hdg
151,4,0.9540954763499939,0.0005754744206575235,5,0,hdg
152,4,0.9102981779915219,0.0005754744206575235,5,0,hdg
153,4,0.8685113737513527,0.0005754744206575235,5,0,hdg
154,4,0.8286427728546845,0.0005754744206575235,5,0,hdg
155,4,0.79060432109077,0.0002666920763267843,5,0,hdg
156,4,0.7543120063354617,0.00026669146610947415,5,0,hdg
157,4,0.719685673001152,0.000266691989236173,5,0,hdg
158,4,0.6866488450043001,0.0005755884609405753,5,0,hdg
