,A
380,47.184336403171535
381,47.03016582946613
382,47.3388914691846
383,47.090602881626694
384,1155938.7779137685
385,47.08543454811704
386,46.95753706108475
387,46.89267323063527
388,477903.91552765726
389,47.05860321080434
390,228305.52150093115
391,47.17269749867438
392,1042797.9849502081
393,47.19141630089163
394,5053307.303582263
395,47.10515424562768
396,3147601.3820800595
397,47.096610048047566
398,47.272431388810695
399,47.014333136582835
400,46.90772201063417
401,47.030722847669054
402,46.96719604121064
403,47.204149719117375
404,47.07247153417423
405,47.35933282081884
406,47.151001632691866
407,47.22157529195857
408,47.11603167780746
409,46.9445056901005
410,46.8663865206307
411,46.94752999126407
412,47.02470817611763
413,47.06732706474705
414,47.0560924106596
415,47.039711860900425
416,47.013281834349826
417,46.82124301831057
418,46.867846853270926
419,47.38316689515452
420,1161663.2352273976
421,46.477592562450184
422,47.23966818807399
423,47.018581359156784
424,47.184003451500566
425,47.012349608576976
426,47.03847222477126
427,47.40611387692678
428,46.88465707080205
429,46.77985808891986
430,47.19116334779185
431,47.10811793256272
432,47.38031195295273
433,47.242523134128305
434,47.21166270928447
435,47.169778027410295
436,47.07785669102736
437,47.103726523415546
438,47.20424954792978
439,47.062402226801254
440,46.718263706443075
441,47.120507768803925
442,46.9369931903378
443,47.08286243833329
444,47.0118349990223
445,47.39140318131017
446,46.91043989830585
447,46.78676201807565
448,47.26358270004209
449,47.096585783628704
450,47.37133284606244
451,47.25720649230156
452,46.63036318622956
453,47.22696349526503
454,46.98678200607298
455,46.978987471188105
456,46.94470696999277
457,47.05176630006889
458,47.42300953546484
459,46.98475253341141
460,47.16139979008394
461,47.0380078283565
462,47.27904234859896
463,46.877727082022204
464,46.98375472538645
465,47.517683070559336
466,46.58908312956372
467,47.03413599016406
468,46.98061048621033
469,46.88222527856375
470,47.03478077920581
471,46.81623443847176
472,47.098320894734755
473,47.12575701614648
474,47.18071592216728
475,47.12210818464428
476,47.02422359447645
477,46.92564281178432
478,47.24830023049496
479,47.39641218735458
480,46.88090487764565
481,46.9138340146882
482,47.03309332208615
483,47.11059947056317
484,46.823168403690886
485,46.945623604983275
486,47.27721115830921
487,47.65635227134447
488,47.11386656315801
489,47.033034198996276
490,46.892485748007374
491,47.0480612197958
492,46.91229662795261
493,46.94693803363061
494,46.946597534971275
495,46.93728436760561
496,46.97489901360758
497,46.91952750625703
498,47.13045266168768
499,46.84343777449567
500,47.114390285850945
501,47.154609894311925
502,47.15666698889328
503,601439.9715486949
504,47.1912749505454
505,647996.1334723262
506,47.30418579799447
507,680693.8275835735
508,47.31335027212366
509,2623756.6266138256
510,47.1683995713273
511,410383.3843719611
512,47.09765109451442
513,47.05573015499147
514,47.052560477676366
515,47.13234478183807
516,47.06336712448384
517,47.11406140857504
518,46.94486356935777
519,46.99655758429721
520,46.91956398707762
521,46.926617987055096
522,47.07671853649041
523,46.85263792616693
524,47.097181795336596
525,47.11513796287188
526,47.13812715157912
527,47.074646712587615
528,47.14631146454692
529,47.100248055178724
530,47.13128934836989
531,47.164950082841536
532,47.09777026237784
533,47.134956208398506
534,47.523170480882136
535,389052.3171893228
536,4202924.204528879
537,46.84463362697909
538,47.048528687539644
539,47.232363451834054
540,46.92992521076715
541,46.885285927244155
542,47.06707762408199
543,46.941647257883496
544,46.76370220457839
545,47.072549767027205
546,46.46136222427709
547,47.24505314738092
548,46.882370675140784
549,47.39386979671684
550,554007.7021496214
551,47.31556704938987
552,47.180147098806636
553,47.33580513230213
554,47.062182941467796
555,46.93638468936431
556,47.35277671429691
557,46.947477534763294
558,46.47120771566692
559,46.855351935891775
560,47.015726032933024
561,46.736240836740826
562,47.15889742198299
563,48.299483379222664
564,47.35845905105829
565,46.945867455559096
566,47.34865606543015
567,46.98433114481212
568,47.41305166310044
569,47.11563695480604
570,46.97504719597717
571,46.98894556475455
572,47.205262554834626
573,47.26540768788526
574,46.99476185410228
575,47.2570372123259
576,47.30019915020756
577,47.224021902184965
578,46.94758576697097
579,46.98935188604229
580,46.8350718775867
581,47.380393298301584
582,47.213324332423745
583,47.27389073504743
584,47.01085512088885
585,46.76775284469938
586,46.86139834490516
587,47.14451885323445
588,47.3743695687952
589,47.02175345359939
590,47.05879012236696
591,46.835557734940195
592,47.05240923730506
593,46.818114761414115
594,47.42280329895452
595,47.17022694669744
596,46.82196424895039
597,46.902770147794065
598,47.08823745987152
599,46.784185653563334
600,46.887745802890656
601,46.91798869097706
602,47.200926907270045
603,46.83294958631502
604,46.8283513965554
605,47.22801248922443
606,47.237756752389124
607,46.895305850090956
608,47.43078275694903
609,47.21158392453862
610,46.821520069093296
611,47.006827722804445
612,46.68620893167123
613,47.441031664971895
614,47.455361295241794
615,47.07480614528723
616,47.11293088159701
617,47.02526053650693
618,46.87203941720008
619,47.0228835920005
620,46.89105275546123
621,46.91663696837693
622,46.91975449212727
623,46.921711380228054
624,46.89929376207999
625,46.90414491461155
626,46.89740504469982
627,46.848179665463846
628,47.071295359000544
629,46.79553989885571
630,47.113261111593246
631,47.1597832956118
632,47.14791827505085
633,153864.54785022914
634,47.08403903762011
635,92504.76447975206
636,47.12971807173933
637,94597.62893141093
638,47.17629424325759
639,133455.55456728142
640,47.22009466963072
641,189729.8127692318
642,47.12066571956094
643,103352.64308770878
644,47.09839286031952
645,47.04253084390996
646,46.978000648226825
647,47.11936000757706
648,47.04819580874145
649,47.08911348239563
650,47.07517279553578
651,47.082018970711296
652,47.05289055418962
653,47.059700456035245
654,47.008755830911724
655,47.00679436727263
656,47.1061693338583
657,46.88002960151301
658,47.09810003070911
659,47.11851523854247
660,47.182205582518634
661,47.06687584079263
662,47.12218057866274
663,47.105541355035506
664,47.06785716490113
665,47.08381524900542
666,47.014599544538996
667,47.07318747911404
668,47.050007260022795
669,47.082260134082745
670,47.50801244336371
671,128652.74450812947
672,850264.5575957502
673,46.841324390589534
674,47.035307396969515
675,47.20967207236614
676,46.8668421542678
677,46.86095267634735
678,47.00651710852003
679,46.960494802538896
680,46.784013809323376
681,46.889984322311676
682,46.71819025057208
683,47.006551539901594
684,46.45678917420623
685,47.06547862940515
686,46.91661534742341
687,47.14282912177405
688,97491.1770139737
689,47.07573262668923
690,47.06686870428521
691,47.15143164308822
692,47.09239851275799
693,47.336177030269084
694,47.02969310261567
695,47.0962465035932
696,47.12475822671147
697,47.11518016064238
698,46.45808727668875
699,47.06199756142791
700,46.9873675472846
701,47.02325039131533
702,47.09012260100734
703,46.699444401623836
704,47.13005421602619
705,48.30485551680004
706,47.055949995269415
707,47.07856934521311
708,47.07889342507817
709,47.07404319567931
710,47.064920381470586
711,46.985317534623334
712,47.16197630013373
713,47.04663917765055
714,46.98453034908339
715,46.904900232090625
716,47.18585283238779
717,47.266191054042935
718,46.96467421337608
719,47.20918111611547
720,47.30826758241946
721,47.24113942275698
722,47.13177653396604
723,46.87100734460678
724,47.402025570943614
725,47.02411280865598
726,47.30407706068233
727,46.95495943322116
728,46.739042916567634
729,46.82144459506702
730,46.77518785315139
731,46.69518729227999
732,46.8508397515069
733,46.83464041653497
734,47.235161346724354
735,47.08013867943687
736,47.40041495788518
737,46.871024440722245
738,46.83895835965873
739,47.354574903170025
740,46.93441217042364
741,47.154437901478936
742,47.13520814298881
743,46.85649391633457
744,46.84211148380528
745,47.0582561850548
746,47.04501919917021
747,47.24405423039286
748,46.69486666787966
749,46.84975032258081
750,47.189026951709735
751,46.89735227908821
752,46.8714233762652
753,47.278866040108404
