,Order,Mesh Size,Error,Alpha,Bonus Int
266,1.0,0.5,0.0017280959894523035,31.0,13.0
267,1.0,0.5,0.002426540113026156,31.0,15.0
268,1.0,0.5,0.0024148075165756158,31.0,17.0
269,1.0,0.5,0.0025110775165413123,31.0,19.0
270,1.0,0.5,0.1930966888064959,36.0,1.0
271,1.0,0.5,0.007682183110188302,36.0,3.0
272,1.0,0.5,0.5722998560873048,36.0,5.0
273,1.0,0.5,0.656241358729423,36.0,7.0
274,1.0,0.5,0.10406941854628503,36.0,9.0
275,1.0,0.5,0.032081350656984635,36.0,11.0
276,1.0,0.5,0.011817623372116793,36.0,13.0
277,1.0,0.5,0.00507311076462247,36.0,15.0
278,1.0,0.5,0.011112380114430715,36.0,17.0
279,1.0,0.5,0.014739777440921763,36.0,19.0
280,1.0,0.5,0.05496217349123451,41.0,1.0
281,1.0,0.5,0.11239764626466377,41.0,3.0
282,1.0,0.5,0.005484816250800557,41.0,5.0
283,1.0,0.5,0.004883848798261703,41.0,7.0
284,1.0,0.5,0.9254441738799345,41.0,9.0
285,1.0,0.5,0.003942975467358315,41.0,11.0
286,1.0,0.5,0.0036725560426592568,41.0,13.0
287,1.0,0.5,0.003607984400595776,41.0,15.0
288,1.0,0.5,0.0037606230863020287,41.0,17.0
289,1.0,0.5,0.004079905142283778,41.0,19.0
290,1.0,0.5,0.12948824851298882,46.0,1.0
291,1.0,0.5,0.009724872300407408,46.0,3.0
292,1.0,0.5,0.0075017942395424276,46.0,5.0
293,1.0,0.5,0.007578725108085138,46.0,7.0
294,1.0,0.5,0.007707805439154628,46.0,9.0
295,1.0,0.5,197414667.75285223,46.0,11.0
296,1.0,0.5,0.008523114143852387,46.0,13.0
297,1.0,0.5,0.009491619195619102,46.0,15.0
298,1.0,0.5,75685778126.35818,46.0,17.0
299,1.0,0.5,0.012350546305281174,46.0,19.0
300,1.0,0.5,4.102457390262135,51.0,1.0
301,1.0,0.5,0.05910360467509145,51.0,3.0
302,1.0,0.5,0.2346062501036917,51.0,5.0
303,1.0,0.5,57677844871.60185,51.0,7.0
304,1.0,0.5,0.034870269363373306,51.0,9.0
305,1.0,0.5,0.08067763653410666,51.0,11.0
306,1.0,0.5,0.006178724378120609,51.0,13.0
307,1.0,0.5,0.002611634278951004,51.0,15.0
308,1.0,0.5,24184551560.66207,51.0,17.0
309,1.0,0.5,0.0017676910399983714,51.0,19.0
310,1.0,0.5,1.999789303604633,56.0,1.0
311,1.0,0.5,0.011209325848485554,56.0,3.0
312,1.0,0.5,0.014347254885693907,56.0,5.0
313,1.0,0.5,0.008425645650462095,56.0,7.0
314,1.0,0.5,0.03127805853788686,56.0,9.0
315,1.0,0.5,0.274303033841079,56.0,11.0
316,1.0,0.5,0.006571736843040718,56.0,13.0
317,1.0,0.5,0.002519262866761183,56.0,15.0
318,1.0,0.5,0.0025058182450547212,56.0,17.0
319,1.0,0.5,0.0029553611546833786,56.0,19.0
320,1.0,0.5,1.0262719954876312,61.0,1.0
321,1.0,0.5,0.010207815736636271,61.0,3.0
322,1.0,0.5,9377975952293244.0,61.0,5.0
323,1.0,0.5,0.07216524401481664,61.0,7.0
324,1.0,0.5,0.48903830390407077,61.0,9.0
325,1.0,0.5,0.07692364625855322,61.0,11.0
326,1.0,0.5,0.003148872309774373,61.0,13.0
327,1.0,0.5,0.006039107743271951,61.0,15.0
328,1.0,0.5,0.008258321843366653,61.0,17.0
329,1.0,0.5,0.010943332117783125,61.0,19.0
330,1.0,0.5,0.004112227811077888,66.0,1.0
331,1.0,0.5,0.012108871614696813,66.0,3.0
332,1.0,0.5,0.21364999166556303,66.0,5.0
333,1.0,0.5,0.03570238745118881,66.0,7.0
334,1.0,0.5,0.019338096510228768,66.0,9.0
335,1.0,0.5,0.0060275079085422,66.0,11.0
336,1.0,0.5,0.0031553196660390782,66.0,13.0
337,1.0,0.5,0.002443204378114332,66.0,15.0
338,1.0,0.5,0.0024236152929425787,66.0,17.0
339,1.0,0.5,0.002534782612479297,66.0,19.0
340,1.0,0.5,47.623063173065525,71.0,1.0
341,1.0,0.5,0.018305966770915918,71.0,3.0
342,1.0,0.5,0.1021084181120308,71.0,5.0
343,1.0,0.5,0.023992871282830015,71.0,7.0
344,1.0,0.5,0.009621998550782586,71.0,9.0
345,1.0,0.5,0.004879058549257702,71.0,11.0
346,1.0,0.5,0.0028579298322596943,71.0,13.0
347,1.0,0.5,0.0020275768273740314,71.0,15.0
348,1.0,0.5,0.001774488237482612,71.0,17.0
349,1.0,0.5,0.0017334273637575218,71.0,19.0
350,1.0,0.5,1.4214277247265896,76.0,1.0
351,1.0,0.5,0.02373662905397924,76.0,3.0
352,1.0,0.5,0.07325548293828094,76.0,5.0
353,1.0,0.5,0.015248827410873519,76.0,7.0
354,1.0,0.5,0.008641776534631258,76.0,9.0
355,1.0,0.5,0.0045906030409534945,76.0,11.0
356,1.0,0.5,0.0027621156418281847,76.0,13.0
357,1.0,0.5,0.004105668231514961,76.0,15.0
358,1.0,0.5,0.001549916659523727,76.0,17.0
359,1.0,0.5,0.001452511811680538,76.0,19.0
360,1.0,0.5,0.49091964943410576,81.0,1.0
361,1.0,0.5,0.027673799550737895,81.0,3.0
362,1.0,0.5,0.023697469751433674,81.0,5.0
363,1.0,0.5,0.013805160005357585,81.0,7.0
364,1.0,0.5,0.008003141865291807,81.0,9.0
365,1.0,0.5,0.00469230073084162,81.0,11.0
366,1.0,0.5,0.0028467489766385587,81.0,13.0
367,1.0,0.5,0.0018847911091945154,81.0,15.0
368,1.0,0.5,0.0014669240917777342,81.0,17.0
369,1.0,0.5,0.0013248342505247056,81.0,19.0
370,1.0,0.5,3367.582773582083,86.0,1.0
371,1.0,0.5,0.04436055733572959,86.0,3.0
372,1.0,0.5,0.02299790390775263,86.0,5.0
373,1.0,0.5,0.014306970364029423,86.0,7.0
374,1.0,0.5,0.008657372739986034,86.0,9.0
375,1.0,0.5,0.0051840364354423804,86.0,11.0
376,1.0,0.5,0.0031477588885194725,86.0,13.0
377,1.0,0.5,133796461304.57562,86.0,15.0
378,1.0,0.5,0.0014739328844310818,86.0,17.0
379,1.0,0.5,0.0012696347155282716,86.0,19.0
380,1.0,0.5,1.389552396335904,91.0,1.0
381,1.0,0.5,0.08731365133560777,91.0,3.0
382,1.0,0.5,0.02482147761154958,91.0,5.0
383,1.0,0.5,0.01616870724680709,91.0,7.0
384,1.0,0.5,0.01040600379588889,91.0,9.0
385,1.0,0.5,0.0063491050141158325,91.0,11.0
386,1.0,0.5,0.0038510033180052063,91.0,13.0
387,1.0,0.5,0.0024197753063530535,91.0,15.0
388,1.0,0.5,0.0013914129318599584,91.0,17.0
389,1.0,0.5,0.001273504725314258,91.0,19.0
390,1.0,0.5,16.488696421558195,96.0,1.0
391,1.0,0.5,0.48766857638528505,96.0,3.0
392,1.0,0.5,0.02943301359327506,96.0,5.0
393,1.0,0.5,0.0070237528668522405,96.0,7.0
394,1.0,0.5,0.014953249170565916,96.0,9.0
395,1.0,0.5,0.009598513133989137,96.0,11.0
396,1.0,0.5,0.005903408347803029,96.0,13.0
397,1.0,0.5,0.004182338072237939,96.0,15.0
398,1.0,0.5,0.010649534354786837,96.0,17.0
399,1.0,0.5,0.0035915013389483078,96.0,19.0
400,1.0,0.25,8.766287692814382,1.0,1.0
401,1.0,0.25,0.001828334426478206,1.0,3.0
402,1.0,0.25,1.3720769412690786e+16,1.0,5.0
403,1.0,0.25,0.000690778604642089,1.0,7.0
404,1.0,0.25,0.0006177226801014392,1.0,9.0
405,1.0,0.25,0.0005937597043082508,1.0,11.0
406,1.0,0.25,0.6501663949592035,1.0,13.0
407,1.0,0.25,2.9882622784982217e+37,1.0,15.0
408,1.0,0.25,0.0005834502829660399,1.0,17.0
409,1.0,0.25,0.000583253800554356,1.0,19.0
410,1.0,0.25,25793.406078635697,6.0,1.0
411,1.0,0.25,0.0029299686024533565,6.0,3.0
412,1.0,0.25,0.0005463807417273455,6.0,5.0
413,1.0,0.25,0.00030945820064110305,6.0,7.0
414,1.0,0.25,239856686345.9504,6.0,9.0
415,1.0,0.25,103298121526.96783,6.0,11.0
416,1.0,0.25,0.00023572423684992878,6.0,13.0
417,1.0,0.25,0.00025152617065687705,6.0,15.0
418,1.0,0.25,0.00023594827138998087,6.0,17.0
419,1.0,0.25,0.001731052078112326,6.0,19.0
420,1.0,0.25,0.007927214006705548,11.0,1.0
421,1.0,0.25,0.0048534258795385945,11.0,3.0
422,1.0,0.25,0.003216581989434163,11.0,5.0
423,1.0,0.25,0.015198202174997686,11.0,7.0
424,1.0,0.25,13665097093.98769,11.0,9.0
425,1.0,0.25,0.003277165611688511,11.0,11.0
426,1.0,0.25,0.010277641042993897,11.0,13.0
427,1.0,0.25,29368887335.198162,11.0,15.0
428,1.0,0.25,0.003415271224315785,11.0,17.0
429,1.0,0.25,0.0032714852043649874,11.0,19.0
430,1.0,0.25,0.006269034483033591,16.0,1.0
431,1.0,0.25,0.005537650709003959,16.0,3.0
432,1.0,0.25,0.007309577458166703,16.0,5.0
433,1.0,0.25,0.006754695716758054,16.0,7.0
434,1.0,0.25,0.0052112079852889934,16.0,9.0
435,1.0,0.25,0.004961325304894601,16.0,11.0
436,1.0,0.25,0.004966369900844981,16.0,13.0
437,1.0,0.25,0.004969973828177851,16.0,15.0
438,1.0,0.25,0.004937740554131367,16.0,17.0
439,1.0,0.25,0.004908016605235091,16.0,19.0
440,1.0,0.25,0.02639889705057265,21.0,1.0
441,1.0,0.25,0.016147029224174585,21.0,3.0
442,1.0,0.25,0.02554461850818417,21.0,5.0
443,1.0,0.25,0.03959342579733323,21.0,7.0
444,1.0,0.25,0.04696509473893381,21.0,9.0
445,1.0,0.25,0.16477751396165857,21.0,11.0
446,1.0,0.25,0.013399065386328946,21.0,13.0
447,1.0,0.25,0.06899858157697988,21.0,15.0
448,1.0,0.25,0.3059476560378577,21.0,17.0
449,1.0,0.25,3.1169955339205107,21.0,19.0
450,1.0,0.25,0.013463504843745434,26.0,1.0
451,1.0,0.25,0.012635462288329945,26.0,3.0
452,1.0,0.25,0.013532057499871162,26.0,5.0
453,1.0,0.25,0.04276610884603349,26.0,7.0
454,1.0,0.25,2.991456305184811,26.0,9.0
455,1.0,0.25,0.003838512087054305,26.0,11.0
456,1.0,0.25,0.0015568750589447621,26.0,13.0
457,1.0,0.25,0.0017798137203938946,26.0,15.0
458,1.0,0.25,0.0019498046758783414,26.0,17.0
459,1.0,0.25,0.0020077112433639368,26.0,19.0
460,1.0,0.25,0.028051434673143416,31.0,1.0
461,1.0,0.25,0.011707771122832653,31.0,3.0
462,1.0,0.25,0.009156047181426373,31.0,5.0
463,1.0,0.25,2771072.0835918547,31.0,7.0
464,1.0,0.25,0.0021765245136855463,31.0,9.0
465,1.0,0.25,0.0008122589627446585,31.0,11.0
466,1.0,0.25,0.0007171615030627824,31.0,13.0
467,1.0,0.25,0.0008872122659129068,31.0,15.0
468,1.0,0.25,0.0009914842575251617,31.0,17.0
469,1.0,0.25,0.0010433505029038485,31.0,19.0
470,1.0,0.25,0.04425363873143402,36.0,1.0
471,1.0,0.25,0.022302702790512934,36.0,3.0
